id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salario janeiro,salario
2,2026-01-08,CLI002,debito,220.40,Supermercado,compra
3,2026-01-12,CLI003,debito,89.90,Streaming,assinatura
4,2026-01-18,CLI001,debito,450.00,Conta de energia,conta
5,2026-01-25,CLI004,credito,12500.00,Transferencia recebida,transferencia
6,2026-02-03,CLI002,credito,4200.00,Pagamento mensal,salario
7,2026-02-07,CLI003,debito,310.50,Compra farmacia,compra
8,2026-02-11,CLI004,debito,1500.00,Pagamento aluguel,conta
9,2026-02-14,CLI005,credito,18000.00,Transferencia recebida,transferencia
10,2026-02-22,CLI001,debito,120.00,Combustivel,transporte
11,2026-03-01,CLI001,credito,3500.00,Salario marco,salario
12,2026-03-04,CLI002,debito,760.30,Compra de equipamentos,compra
13,2026-03-10,CLI003,debito,99.90,Streaming,assinatura
14,2026-03-15,CLI004,credito,2800.00,Pagamento de servico,outros
15,2026-03-20,CLI005,debito,540.00,Conta de telefone,conta
16,2026-03-25,CLI002,credito,6400.00,Transferencia recebida,transferencia
17,2026-04-02,CLI006,debito,250.00,Compra mercado,compra
18,2026-04-05,CLI006,credito,3900.00,Pagamento mensal,salario
19,2026-04-11,CLI001,debito,175.00,Internet,conta
20,2026-04-18,CLI003,debito,230.00,Restaurante,compra
,2026-01-10,CLI007,debito,200.00,ID vazio,compra
ABC,2026-01-20,CLI008,credito,500.00,ID invalido,outros
23,2026-02-05,,debito,300.00,Cliente vazio,transferencia
24,05-02-2026,CLI009,credito,900.00,Data invalida,outros
25,2026-03-12,CLI010,pagamento,450.00,Tipo invalido,outros
26,2026-03-18,CLI011,debito,abc,Valor invalido,compra
27,2026-04-10,CLI012,credito,-150.00,Valor negativo,outros
